page,rank,name,price,spec
1,인기 순위6,한성컴퓨터 XH57 BossMonster Hero456GT,654000원,인텔 / 펜티엄 / 카비레이크 / G4560 (3.5GHz) / 듀얼 코어 / 39.62cm(15.6인치) / 1920x1080 / 광시야각 / 8GB / DDR4 / M.2 / 120GB / HD 610 / 지포스 GTX1050 / 4GB GDDR5 / 듀얼 그래픽 / 1Gbps 유선랜 / 802.11 n/ac 무선랜 / 블루투스 4.2 / HDMI / D-SUB / 웹캠 / USB 2.0 / USB 3.0 / 멀티 리더기 / 숫자 키패드 / 블록 키보드 / 48.8Wh / 운영체제 미포함 / 31.5mm / 2.5Kg / 색상: 블랙
1,인기 순위7,LG전자 2018 울트라PC 15U480-LA10K,616000원,인텔 / 펜티엄 / 카비레이크 / 4415U (2.3GHz) / 듀얼 코어 / 39.62cm(15.6인치) / 1920x1080 / 광시야각(IPS) / 8GB / DDR4 / 1TB / HD 610 / 시스템메모리공유 / 1Gbps 유선랜 / 802.11 n/ac 무선랜 / 블루투스 있음 / HDMI / 웹캠 / USB 2.0 / USB 3.0 / 멀티 리더기 / 숫자 키패드 / 블록 키보드 / 윈도우10 / 20.9mm / 1.89Kg / 색상 :  화이트
1,인기 순위8,APPLE 맥북프로 2017년형 MPTT2KH/A,2774000원,인텔 / 코어i7-7세대 / 카비레이크 / i7-7820HQ 2.9GHz(3.9GHz) / 쿼드 코어 / 39.11cm(15.4인치) / 2880x1800 / 광시야각 / 베젤없음 / 16GB / LPDDR3 / SSD / 512GB / HD 630 / 라데온 Pro 560 / 4GB GDDR5 / 듀얼 그래픽 / 802.11 n/ac 무선랜 / 블루투스 4.2 / 웹캠 / USB 3.1 Type-C / 썬더볼트 / 블록 키보드 / 키보드 라이트 / Mac OS Sierra / 15.5mm / 1.83Kg / 색상 : 그레이 / 2017년형 레티나 맥북프로 / 터치 바 장착
1,인기 순위9,MSI GP62MVR 7RFX Leopard Pro,1203000원,인텔 / 코어i7-7세대 / 카비레이크 / i7-7700HQ 2.8GHz(3.8GHz) / 쿼드 코어 / 39.62cm(15.6인치) / 1920x1080 / 눈부심방지 / 광시야각 / 8GB / DDR4 / M.2 / 128GB / HD 630 / 지포스 GTX1060 / 6GB GDDR5 / 듀얼 그래픽 / 1Gbps 유선랜 / 802.11 n/ac 무선랜 / 블루투스 4.2 / HDMI / mini DP / 웹캠 / USB 2.0 / USB 3.0 / USB 3.1 Type-C / 멀티 리더기 / 숫자 키패드 / 블록 키보드 / RGB 라이트 / 41Wh / 운영체제 미포함 / 29mm / 2.2Kg
1,인기 순위10,APPLE 맥북프로 2017년형 MPTR2KH/A,2378000원,인텔 / 코어i7-7세대 / 카비레이크 / i7-7700HQ 2.8GHz(3.8GHz) / 쿼드 코어 / 39.11cm(15.4인치) / 2880x1800 / 광시야각 / 베젤없음 / 16GB / LPDDR3 / SSD / 256GB / HD 630 / 라데온 Pro 555 / 2GB GDDR5 / 듀얼 그래픽 / 802.11 n/ac 무선랜 / 블루투스 4.2 / 웹캠 / USB 3.1 Type-C / 썬더볼트 / 블록 키보드 / 키보드 라이트 / Mac OS Sierra / 15.5mm / 1.83Kg / 색상 : 그레이 / 2017년형 레티나 맥북프로 / 터치 바 장착
1,인기 순위11,DELL 인스피론 15 7577 D605KR,1398000원,인텔 / 코어i7-7세대 / 카비레이크 / i7-7700HQ 2.8GHz(3.8GHz) / 쿼드 코어 / 39.62cm(15.6인치) / 1920x1080 / 눈부심방지 / 광시야각(IPS) / 16GB / DDR4 / 1TB / M.2(NVMe) / 256GB / 지포스 GTX1060 / 6GB GDDR5 / 유선랜 / 802.11 n/ac 무선랜 / 블루투스 4.2 / HDMI 2.0 / 웹캠 / USB 3.0 / USB 3.1 Type-C / 썬더볼트 / 멀티 리더기 / 숫자 키패드 / 블록 키보드 / 키보드 라이트 / 지문 인식 / 56Wh / 운영체제 미포함 / 24.95mm / 2.65Kg
1,인기 순위12,LG전자 2018 그램 15Z980-GA56K,1672000원 / 1827000원 / 1675000원 / 1745000원 / 1908000원 / 2004000원 / 2529000원,인텔 / 코어i5-8세대 / 카비레이크-R / i5-8250U 1.6GHz(3.4GHz) / 쿼드 코어 / 39.62cm(15.6인치) / 1920x1080 / 슬림형 베젤 / 광시야각(IPS) / 8GB / DDR4 / M.2 / 512GB / UHD 620 / 시스템메모리공유 / 1Gbps 유선랜(젠더 별도) / 802.11 n/ac 무선랜 / 블루투스 있음 / HDMI / 웹캠 / USB 3.0 / USB Type-C / 멀티 리더기 / 숫자 키패드 / 블록 키보드 / 키보드 라이트 / 지문 인식 / 72Wh / 윈도우10 / 16.8mm / 1.09Kg / 색상: 화이트
1,인기 순위13,레노버 아이디어패드 320-15 Quad Pascal Classic,585000원,인텔 / 코어i5-8세대 / 카비레이크-R / i5-8250U 1.6GHz(3.4GHz) / 쿼드 코어 / 39.62cm(15.6인치) / 1920x1080 / 4GB / DDR4 / SSD / 128GB / 지포스 MX150 / 2GB / 1Gbps 유선랜 / 802.11 n/ac 무선랜 / 블루투스 4.1 / HDMI / USB 3.0 / USB Type-C / 멀티 리더기 / 숫자 키패드 / 블록 키보드 / 운영체제 미포함 / 22.9mm / 1.87Kg / 색상 : 블랙 화이트
1,인기 순위14,레노버 아이디어패드 320-15 Quad Classic,511000원,인텔 / 코어i5-8세대 / 카비레이크-R / i5-8250U 1.6GHz(3.4GHz) / 쿼드 코어 / 39.62cm(15.6인치) / 1920x1080 / 4GB / DDR4 / SSD / 128GB / UHD 620 / 시스템메모리공유 / 1Gbps 유선랜 / 802.11 n/ac 무선랜 / 블루투스 4.1 / HDMI / USB 3.0 / USB Type-C / 멀티 리더기 / 숫자 키패드 / 블록 키보드 / 운영체제 미포함 / 22.9mm / 1.87Kg / 색상 : 블랙 화이트
1,인기 순위15,LG전자 2018 울트라PC 15U480-KA56K,1050000원 / 1287000원 / 1477000원 / 1140000원,인텔 / 코어i5-8세대 / 카비레이크-R / i5-8250U 1.6GHz(3.4GHz) / 쿼드 코어 / 39.62cm(15.6인치) / 1920x1080 / 광시야각(IPS) / 8GB / DDR4 / M.2 / 256GB / 지포스 MX150 / 2GB / 1Gbps 유선랜 / 802.11 n/ac 무선랜 / 블루투스 있음 / HDMI / 웹캠 / USB 2.0 / USB 3.0 / 멀티 리더기 / 숫자 키패드 / 블록 키보드 / 윈도우10 / 20.9mm / 1.99Kg / 색상 : 화이트
